43.916008,-80.112387,"489 Broadway, Orangeville","Broadway, Orangeville, ON, CA",,MapQuest Open,street
43.803218,-79.669351,"8940 Highway 50, Brampton","Highway 50, Brampton, ON, CA",,MapQuest Open,street
43.800279,-79.500005,"3300 Highway 7, Concord","Highway 7, Vaughan, ON, CA",,MapQuest Open,street
43.778524,-79.597566,"6140 Highway 7, Woodbridge","Highway 7, Vaughan, ON, CA",,MapQuest Open,street
43.778524,-79.597566,"4515 Highway 7, Woodbridge","Highway 7, Vaughan, ON, CA",,MapQuest Open,street
43.778524,-79.597566,"4000 Highway 7, Woodbridge","Highway 7, Vaughan, ON, CA",,MapQuest Open,street
43.778291,-79.584924,"7018 Islington Ave, Woodbridge","Islington Avenue, Vaughan, York Region, ON, CA",,MapQuest Open,street
43.77722,-79.603507,"6161 Hwy 7, Vaughan","Highway 7, Vaughan, York Region, ON, CA",,MapQuest Open,street
43.772642,-79.735112,"9115 Airport Rd, Brampton","Airport Road, Brampton, ON, CA",,MapQuest Open,street
43.764784,-79.676979,"9980 Mcvean Dr, Brampton","McVean Drive, Brampton, ON, CA",,MapQuest Open,street
43.764438,-79.73467,"51 Mountainash Rd, Brampton","Mountainash Road, Brampton, ON, CA",,MapQuest Open,street
43.755531,-79.759219,"11805 Bramalea Rd, Brampton","Bramalea Road, Brampton, ON, CA",,MapQuest Open,street
43.741843,-79.594074,"1104 Albion Rd, Etobicoke","Albion Road, Toronto, ON, CA",,MapQuest Open,street
43.735918,-79.578504,"2687 Kipling Ave, Toronto","Kipling Avenue, Toronto, ON, CA",,MapQuest Open,street
43.734213,-79.603063,"6897 Finch Ave W, Toronto","Finch Avenue West, Toronto, ON, CA",,MapQuest Open,street
43.728685,-79.482437,"3336 Keele St, North York","Keele Street, Toronto, ON, CA",,MapQuest Open,street
43.722885,-79.601768,"600 Queens Plate Dr, Etobicoke","Queen's Plate Drive, Toronto, ON, CA",,MapQuest Open,street
43.721019,-79.480921,"4800 Keele St, Toronto","Keele Street, Toronto, ON, CA",,MapQuest Open,street
43.719196,-79.603723,"129 Rexdale Blvd, Etobicoke","Rexdale Boulevard, Toronto, ON, CA",,MapQuest Open,street
43.719196,-79.603723,"123 Rexdale Blvd, Etobicoke","Rexdale Boulevard, Toronto, ON, CA",,MapQuest Open,street
43.709691,-79.53447,"3514 Weston Rd, North York","Weston Road, Toronto, ON, CA",,MapQuest Open,street
43.708456,-79.784068,"9 Bovaird Dr, Brampton","Bovaird Drive, Brampton, ON, CA",,MapQuest Open,street
43.706709,-79.532973,"1906 Weston Rd, Toronto","Weston Road, Toronto, ON, CA",,MapQuest Open,street
